노선,항공사,좌석수,성인,유아,여객수,이용률
인천-김해,KAL,24346,16227,86,16313,66.7 
김해-인천,KAL,24250,17080,75,17155,70.4 
제주-인천,AAR,369,366,2,368,99.2 
제주-인천,ABL,195,195,0,195,100.0 
제주-인천,ESR,378,202,0,202,53.4 
제주-인천,JJA,567,563,2,565,99.3 
제주-인천,JNA,189,188,1,189,99.5 
제주-인천,KAL,370,370,0,370,100.0 
제주-인천,TWB,189,55,0,55,29.1 
인천-대구,KAL,4240,2308,9,2317,54.4 
대구-인천,KAL,4273,2474,17,2491,57.9 
김포-김해,ABL,54207,49156,282,49438,90.7 
김포-김해,JJA,10902,9903,38,9941,90.8 
김포-김해,JNA,9450,8602,28,8630,91.0 
김포-김해,KAL,39305,34319,166,34485,87.3 
김해-김포,ABL,59935,52439,338,52777,87.5 
김해-김포,JJA,10902,9827,27,9854,90.1 
김해-김포,JNA,9639,8179,29,8208,84.9 
김해-김포,KAL,39180,34149,177,34326,87.2 
김포-제주,AAR,144617,127904,1681,129585,88.4 
김포-제주,ABL,44117,40961,353,41314,92.8 
김포-제주,ASV,26180,23410,232,23642,89.4 
김포-제주,ESR,86916,80911,645,81556,93.1 
김포-제주,JJA,113967,108556,962,109518,95.3 
김포-제주,JNA,45273,43460,390,43850,96.0 
김포-제주,KAL,152486,133224,1641,134865,87.4 
김포-제주,TWB,93789,86636,834,87470,92.4 
제주-김포,AAR,144248,131940,1719,133659,91.5 
제주-김포,ABL,38132,36226,335,36561,95.0 
제주-김포,ASV,26180,24342,227,24569,93.0 
제주-김포,ESR,86727,84101,763,84864,97.0 
제주-김포,JJA,113400,108053,971,109024,95.3 
제주-김포,JNA,45084,43553,374,43927,96.6 
제주-김포,KAL,151934,141161,1685,142846,92.9 
제주-김포,TWB,93600,89612,883,90495,95.7 
김포-광주,AAR,10440,6208,61,6269,59.5 
광주-김포,AAR,10440,6567,67,6634,62.9 
김포-여수,AAR,10280,6472,61,6533,63.0 
김포-여수,JNA,5481,3409,31,3440,62.2 
여수-김포,AAR,10280,6653,78,6731,64.7 
여수-김포,JNA,5481,4017,37,4054,73.3 
김포-울산,JNA,5103,4100,68,4168,80.3 
김포-울산,KAL,8120,6664,49,6713,82.1 
울산-김포,JNA,5103,4337,54,4391,85.0 
울산-김포,KAL,8120,6589,61,6650,81.1 
김포-사천,JNA,10962,8404,89,8493,76.7 
사천-김포,JNA,10962,8511,102,8613,77.6 
김포-포항경주,JNA,5481,2479,29,2508,45.2 
포항경주-김포,JNA,5292,2316,31,2347,43.8 
제주-김해,ABL,74301,64382,651,65033,86.7 
제주-김해,ESR,189,98,0,98,51.9 
제주-김해,JJA,36084,33345,328,33673,92.4 
제주-김해,JNA,27916,26398,319,26717,94.6 
제주-김해,KAL,28864,24784,221,25005,85.9 
김해-제주,ABL,68511,61280,622,61902,89.4 
김해-제주,ESR,189,114,0,114,60.3 
김해-제주,JJA,36273,33411,337,33748,92.1 
김해-제주,JNA,28105,26503,263,26766,94.3 
김해-제주,KAL,29004,25558,242,25800,88.1 
제주-대구,AAR,10440,6650,61,6711,63.7 
제주-대구,JJA,17010,14424,157,14581,84.8 
제주-대구,JNA,28261,23493,281,23774,83.1 
제주-대구,KAL,11280,9179,145,9324,81.4 
제주-대구,TWB,38934,34357,303,34660,88.2 
대구-제주,AAR,10440,6324,61,6385,60.6 
대구-제주,JJA,17010,14179,113,14292,83.4 
대구-제주,JNA,28261,23482,248,23730,83.1 
대구-제주,KAL,11280,8083,134,8217,71.7 
대구-제주,TWB,38934,33199,326,33525,85.3 
제주-청주,AAR,15660,14465,269,14734,92.4 
제주-청주,EOK,16200,15186,194,15380,93.7 
제주-청주,ESR,22491,20933,207,21140,93.1 
제주-청주,JJA,24381,22295,170,22465,91.4 
제주-청주,JNA,28291,27213,353,27566,96.2 
제주-청주,KAL,16484,13818,244,14062,83.8 
제주-청주,TWB,23058,21548,342,21890,93.5 
청주-제주,AAR,15660,13554,242,13796,86.6 
청주-제주,EOK,16200,14976,193,15169,92.4 
청주-제주,ESR,22680,21087,208,21295,93.0 
청주-제주,JJA,24192,21729,220,21949,89.8 
청주-제주,JNA,28291,26193,318,26511,92.6 
청주-제주,KAL,16484,14746,252,14998,89.5 
청주-제주,TWB,23058,20390,283,20673,88.4 
제주-무안,JJA,3969,2615,37,2652,65.9 
제주-무안,JNA,1701,1330,23,1353,78.2 
무안-제주,JJA,3969,2996,48,3044,75.5 
무안-제주,JNA,1701,1029,13,1042,60.5 
제주-광주,AAR,20922,14460,122,14582,69.1 
제주-광주,JJA,11340,10594,67,10661,93.4 
제주-광주,JNA,19054,17444,174,17618,91.6 
제주-광주,KAL,17540,13452,151,13603,76.7 
제주-광주,TWB,22680,21120,193,21313,93.1 
광주-제주,AAR,20922,15154,148,15302,72.4 
광주-제주,JJA,11340,10362,76,10438,91.4 
광주-제주,JNA,19054,16334,127,16461,85.7 
광주-제주,KAL,17540,12514,154,12668,71.3 
광주-제주,TWB,22680,20444,178,20622,90.1 
제주-여수,AAR,10671,7255,84,7339,68.0 
제주-여수,JNA,5481,5225,78,5303,95.3 
제주-여수,KAL,4200,2992,45,3037,71.2 
여수-제주,AAR,10671,7331,79,7410,68.7 
여수-제주,JNA,5481,5033,73,5106,91.8 
여수-제주,KAL,4200,2958,42,3000,70.4 
제주-울산 ,JNA,5670,3636,72,3708,64.1 
제주-울산 ,KAL,4060,3504,99,3603,86.3 
울산-제주,JNA,5670,4870,117,4987,85.9 
울산-제주,KAL,4060,2981,48,3029,73.4 
제주-사천,KAL,2444,1987,46,2033,81.3 
사천-제주,KAL,2444,1944,41,1985,79.5 
제주-포항경주,JNA,10962,8170,129,8299,74.5 
포항경주-제주,JNA,11151,7850,123,7973,70.4 
제주-군산,ESR,11340,9563,101,9664,84.3 
제주-군산,JNA,5670,4540,56,4596,80.1 
군산-제주,ESR,11340,9433,83,9516,83.2 
군산-제주,JNA,5670,4585,57,4642,80.9 
제주-원주,JNA,11340,9483,120,9603,83.6 
원주-제주,JNA,11340,9096,116,9212,80.2 
