"연도","공항","노선","시간","출발여객수","도착여객수"
"2022","김포","국내선","06:00","420361","0"
"2022","김포","국내선","07:00","603835","116405"
"2022","김포","국내선","08:00","636790","267101"
"2022","김포","국내선","09:00","646718","350940"
"2022","김포","국내선","10:00","497806","430212"
"2022","김포","국내선","11:00","473487","601473"
"2022","김포","국내선","12:00","551538","597802"
"2022","김포","국제선","09:00","4403","0"
"2022","김포","국제선","10:00","2319","10224"
"2022","김포","국제선","11:00","724","1503"
"2022","김포","국제선","12:00","7490","1325"
"2022","김해","국내선","06:00","19533","262"
"2022","김해","국내선","07:00","246526","19533"
"2022","김해","국내선","08:00","155115","112856"
"2022","김해","국내선","09:00","152660","240660"
"2022","김해","국내선","10:00","224144","267511"
"2022","김해","국내선","11:00","249273","203487"
"2022","김해","국내선","12:00","142286","196193"
"2022","김해","국제선","09:00","11288","8863"
"2022","김해","국제선","10:00","25420","963"
"2022","김해","국제선","11:00","8642","3432"
"2022","김해","국제선","12:00","1883","4226"
"2022","제주","국내선","06:00","69626","12087"
"2022","제주","국내선","07:00","217953","680843"
"2022","제주","국내선","08:00","547037","738857"
"2022","제주","국내선","09:00","615052","727706"
"2022","제주","국내선","10:00","580529","762659"
"2022","제주","국내선","11:00","663794","686952"
"2022","제주","국내선","12:00","578028","733861"
"2022","제주","국제선","08:00","0","4028"
"2022","제주","국제선","09:00","3562","136"
"2022","제주","국제선","10:00","1356","1386"
"2022","제주","국제선","11:00","649","251"
"2022","대구","국내선","06:00","120237","0"
"2022","대구","국내선","07:00","43372","123"
"2022","대구","국내선","08:00","51590","32624"
"2022","대구","국내선","09:00","85086","66573"
"2022","대구","국내선","10:00","62925","9045"
"2022","대구","국내선","11:00","19157","10511"
"2022","대구","국내선","12:00","8571","29325"
"2022","대구","국제선","09:00","1","1564"
"2022","대구","국제선","10:00","0","0"
"2022","대구","국제선","11:00","0","196"
"2022","대구","국제선","12:00","0","258"
"2022","청주","국내선","06:00","8846","0"
"2022","청주","국내선","07:00","48783","8453"
"2022","청주","국내선","08:00","122071","17482"
"2022","청주","국내선","09:00","111203","58812"
"2022","청주","국내선","10:00","89692","81417"
"2022","청주","국내선","11:00","90652","77073"
"2022","청주","국내선","12:00","71872","42931"
"2022","무안","국내선","06:00","0","0"
"2022","무안","국내선","07:00","0","0"
"2022","무안","국내선","08:00","0","0"
"2022","양양","국내선","06:00","0","0"
"2022","양양","국내선","07:00","1951","0"
"2022","양양","국내선","08:00","12666","0"
"2022","양양","국내선","09:00","27147","2997"
"2022","양양","국내선","10:00","2627","7834"
"2022","양양","국내선","11:00","302","8866"
"2022","양양","국내선","12:00","5036","25575"
